Sample_ID,Domestication,Fertilization,Harvest_Stage,Replicate,Water_Soluble_P (mg/kg),,,,
26,Wild,Unfertilized,Seedling,2,0.507399577,,,,
54,Modern,Fertilized,Seedling,5,0.972515856,,,,
27,Wild,Unfertilized,Seedling,3,1.1205074,,,,
25,Wild,Unfertilized,Seedling,1,1.33192389,,,,
28,Wild,Unfertilized,Seedling,4,1.839323467,,,,R2= 0.997
5,Wild,Fertilized,Seedling,6,1.987315011,,,,
85,Modern,Unfertilized,Seedling,6,2.117647059,,,,
80,Modern,Unfertilized,Seedling,1,2.607843137,,,,
84,Modern,Unfertilized,Seedling,5,2.666666667,,,,
81,Modern,Unfertilized,Seedling,2,2.784313725,,,,
82,Modern,Unfertilized,Seedling,3,2.941176471,,,,
83,Modern,Unfertilized,Seedling,4,3.196078431,,,,
3,Wild,Fertilized,Seedling,4,3.446088795,,,,
4,Wild,Fertilized,Seedling,5,3.530655391,,,,
52,Modern,Fertilized,Seedling,3,4.355179704,,,,
2,Wild,Fertilized,Seedling,3,5.517970402,,,,
53,Modern,Fertilized,Seedling,4,6.427061311,,,,
51,Modern,Fertilized,Seedling,2,6.871035941,,,,
55,Modern,Fertilized,Seedling,6,9.725158562,,,,
50,Modern,Fertilized,Seedling,1,10.59196617,,,,
32,Wild,Unfertilized,Early_Vegetative,5,0.930232558,,,,
31,Wild,Unfertilized,Early_Vegetative,3,1.057082452,,,,
30,Wild,Unfertilized,Early_Vegetative,2,1.183932347,,,,
61,Modern,Fertilized,Early_Vegetative,6,1.882352941,,,,
29,Wild,Unfertilized,Early_Vegetative,1,1.966173362,,,,
56,Modern,Fertilized,Early_Vegetative,1,2.177589852,,,,
60,Modern,Fertilized,Early_Vegetative,5,2.274509804,,,,
58,Modern,Fertilized,Early_Vegetative,3,2.283298097,,,,
59,Modern,Fertilized,Early_Vegetative,4,2.31372549,,,,
86,Modern,Unfertilized,Early_Vegetative,1,2.333333333,,,,
91,Modern,Unfertilized,Early_Vegetative,6,2.37254902,,,,
87,Modern,Unfertilized,Early_Vegetative,2,2.529411765,,,,
90,Modern,Unfertilized,Early_Vegetative,5,2.68627451,,,,
88,Modern,Unfertilized,Early_Vegetative,3,2.705882353,,,,
89,Modern,Unfertilized,Early_Vegetative,4,2.784313725,,,,
57,Modern,Fertilized,Early_Vegetative,2,3.150105708,,,,
6,Wild,Fertilized,Early_Vegetative,1,3.615221987,,,,
8,Wild,Fertilized,Early_Vegetative,3,5.433403805,,,,
9,Wild,Fertilized,Early_Vegetative,5,5.517970402,,,,
10,Wild,Fertilized,Early_Vegetative,6,7.251585624,,,,
35,Wild,Unfertilized,Late_Vegetative,2,0.824524313,,,,
37,Wild,Unfertilized,Late_Vegetative,5,1.289640592,,,,
36,Wild,Unfertilized,Late_Vegetative,4,1.374207188,,,,
64,Modern,Fertilized,Late_Vegetative,3,1.647058824,,,,
63,Modern,Fertilized,Late_Vegetative,2,1.764705882,,,,
34,Wild,Unfertilized,Late_Vegetative,1,1.860465116,,,,
66,Modern,Fertilized,Late_Vegetative,5,2,,,,
62,Modern,Fertilized,Late_Vegetative,1,2.058823529,,,,
92,Modern,Unfertilized,Late_Vegetative,1,2.078431373,,,,
38,Wild,Unfertilized,Late_Vegetative,6,2.21987315,,,,
95,Modern,Unfertilized,Late_Vegetative,4,2.254901961,,,,
96,Modern,Unfertilized,Late_Vegetative,5,2.470588235,,,,
97,Modern,Unfertilized,Late_Vegetative,6,2.666666667,,,,
67,Modern,Fertilized,Late_Vegetative,6,2.68627451,,,,
93,Modern,Unfertilized,Late_Vegetative,2,2.764705882,,,,
94,Modern,Unfertilized,Late_Vegetative,3,2.764705882,,,,
13,Wild,Fertilized,Late_Vegetative,5,3.044397463,,,,
14,Wild,Fertilized,Late_Vegetative,6,3.171247357,,,,
39,Wild,Unfertilized,Early_Flower,2,0.951374207,,,,
72,Modern,Fertilized,Early_Flower,5,1.098039216,,,,
68,Modern,Fertilized,Early_Flower,1,1.215686275,,,,
71,Modern,Fertilized,Early_Flower,4,1.215686275,,,,
41,Wild,Unfertilized,Early_Flower,4,1.289640592,,,,
40,Wild,Unfertilized,Early_Flower,3,1.33192389,,,,
43,Wild,Unfertilized,Early_Flower,6,1.33192389,,,,
42,Wild,Unfertilized,Early_Flower,5,1.416490486,,,,
69,Modern,Fertilized,Early_Flower,2,1.549019608,,,,
70,Modern,Fertilized,Early_Flower,3,1.62745098,,,,
99,Modern,Unfertilized,Early_Flower,2,2.31372549,,,,
98,Modern,Unfertilized,Early_Flower,1,2.568627451,,,,
100,Modern,Unfertilized,Early_Flower,3,2.62745098,,,,
103,Modern,Unfertilized,Early_Flower,6,2.764705882,,,,
102,Modern,Unfertilized,Early_Flower,5,2.784313725,,,,
18,Wild,Fertilized,Early_Flower,5,3.065539112,,,,
19,Wild,Fertilized,Early_Flower,6,3.298097252,,,,
101,Modern,Unfertilized,Early_Flower,4,3.647058824,,,,
17,Wild,Fertilized,Early_Flower,3,3.847780127,,,,
73,Modern,Fertilized,Early_Flower,6,4.37254902,,,,
15,Wild,Fertilized,Early_Flower,1,4.862579281,,,,
16,Wild,Fertilized,Early_Flower,2,6.976744186,,,,
45,Wild,Unfertilized,Late_Flower,2,0.634249471,,,,
44,Wild,Unfertilized,Late_Flower,1,1.162790698,,,,
49,Wild,Unfertilized,Late_Flower,6,1.289640592,,,,
46,Wild,Unfertilized,Late_Flower,3,1.416490486,,,,
48,Wild,Unfertilized,Late_Flower,5,1.458773784,,,,
47,Wild,Unfertilized,Late_Flower,4,1.479915433,,,,
75,Modern,Fertilized,Late_Flower,2,1.62745098,,,,
109,Modern,Unfertilized,Late_Flower,6,2.156862745,,,,
21,Wild,Fertilized,Late_Flower,2,2.431289641,,,,
78,Modern,Fertilized,Late_Flower,5,2.549019608,,,,
20,Wild,Fertilized,Late_Flower,1,2.579281184,,,,
104,Modern,Unfertilized,Late_Flower,1,2.784313725,,,,
76,Modern,Fertilized,Late_Flower,3,2.901960784,,,,
79,Modern,Fertilized,Late_Flower,6,3.156862745,,,,
108,Modern,Unfertilized,Late_Flower,5,3.235294118,,,,
24,Wild,Fertilized,Late_Flower,5,3.276955603,,,,
106,Modern,Unfertilized,Late_Flower,3,3.294117647,,,,
74,Modern,Fertilized,Late_Flower,1,3.431372549,,,,
77,Modern,Fertilized,Late_Flower,4,3.745098039,,,,
107,Modern,Unfertilized,Late_Flower,4,3.843137255,,,,
23,Wild,Fertilized,Late_Flower,4,4.164904863,,,,
105,Modern,Unfertilized,Late_Flower,2,4.37254902,,,,
22,Wild,Fertilized,Late_Flower,3,6.046511628,,,,
110,Wild,Fertilized,Late_Flower,6,6.568627451,,,,
,,,,,,,,,
